Id,Corr,CummCorr
0,906415,906415
5000,1781637,2688052
10000,1904915,4592967
15000,2159431,6752398
20000,2210994,8963392
25000,2100676,11064068
30000,2042640,13106708
35000,2077603,15184311
40000,2196624,17380935
45000,2206820,19587755
50000,2125738,21713493
55000,1986027,23699520
60000,1838554,25538074
65000,1796956,27335030
70000,1750113,29085143
75000,1724208,30809351
80000,1501347,32310698
85000,1392715,33703413
90000,1348895,35052308
95000,1071763,36124071
100000,941853,37065924
105000,753865,37819789
110000,632307,38452096
115000,544650,38996746
120000,469516,39466262
125000,409343,39875605
130000,360920,40236525
135000,316152,40552677
140000,316904,40869581
145000,297776,41167357
150000,269482,41436839
155000,228503,41665342
160000,199125,41864467
165000,165461,42029928
170000,125293,42155221
175000,86813,42242034
180000,53855,42295889
185000,29941,42325830
190000,12115,42337945
195000,5019,42342964
200000,1204,42344168
